NO,식품종류,식품명,상세분류,1회제공량,kcal,단백질(g),지방(g),탄수화물(g)
13956,가공식품,알찬소시지,어육소시지,500.0,925,32,47,93
13957,가공식품,초이스엘 옛날소시지,어육소시지,100.0,210,6,14,16
13958,가공식품,Only Price 깔끔하게 짜먹는 딸기잼,잼,100.0,251,0,1.7,58.8
13959,가공식품,Only Price 깔끔하게 짜먹는 블루베리잼,잼,100.0,242,0,0,60
13960,가공식품,옛날국수 중면,건면,100.0,340,9,3,69
13961,가공식품,초이스엘 메밀국수,건면,100.0,345,9,0,77
13962,가공식품,Only Price 찰진소면,건면,100.0,350,9,0,78
13963,가공식품,CHOICE L 소면,건면,100.0,350,9,0,78
13964,가공식품,백설 제일제면소 소면,건면,100.0,345,9,0.9,75
13965,가공식품,백설 제일제면소 칼국수면,생면,100.0,360,11,1,77
13966,가공식품,통통딸기잼,잼,100.0,292,0,0,73
13967,가공식품,아침엔 우유토스트,식빵,33.0,86,2,1.6,16
13968,가공식품,홀그레인 머스타드,소스,100.0,130,3,0,30
13969,가공식품,햄스프레드&딥소스,소스,100.0,515,2,50,14
13970,가공식품,끝까지 짜먹는 스위트칠리소스,소스,100.0,190,1,1.4,44
13971,가공식품,끝까지 짜먹는 클래식 돈까스소스,소스,100.0,190,1,1.4,44
13972,가공식품,땅콩소보루스틱,기타빵류,45.0,157,3,5,25
13973,가공식품,정통크림빵,기타빵류,75.0,280,4,12,39
13974,가공식품,폭신폭신 에그볼,기타빵류,100.0,375,6,7,72
13975,가공식품,오리지널 에그샌드위치,즉석섭취식품,280.0,678,16,42,59
13976,가공식품,라퀴진 그릴프랑크,소시지,100.0,330,12,30,3
13977,가공식품,프라임 꼬치구이 프랑크,소시지,100.0,276,12,24,3
13978,가공식품,서울우유 나 100%,우유,1000000.0,130,6,8,9
13979,가공식품,맛있는우유 GT,우유,100.0,65,3,4,4.5
13980,가공식품,남양 아침목장우유,우유,1000000.0,65,3,4,4.5
13981,가공식품,프라임 리얼 매콤 프랑크,소시지,100.0,270,13,22,5
13982,가공식품,도이치부어스트,소시지,100.0,265,14,20,7
13983,가공식품,켄터키후랑크,소시지,100.0,255,10,20,9
13984,가공식품,숲속에 목장우유,우유,100.0,70,3,4,5
13985,가공식품,365 1등급 우유,우유,100.0,60,3,3.6,4.5
13986,가공식품,맛있는우유GT 깔끔한 저지방,우유,100.0,42,3,1.3,4.5
13987,가공식품,서울우유 저지방 나 100%,우유,100.0,40,3,1,4.5
